song,artist
The Astronaut,JIN
Unholy,Sam Smith & Kim Petras
Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),Rihanna
I'm Good (Blue),David Guetta & Bebe Rexha
Miss You,Oliver Tree & Robin Schulz
Calm Down,Rema
Mockingbird,Eminem
SNAP,Rosa Linn
Dreamers (Music from the FiFA World Cup Qatar 2022 Official Soundtrack),Jung Kook
Space Song,Beach House
Under The Influence,Chris Brown
Another Love,Tom Odell
Alone,Burna Boy
Anti-Hero,Taylor Swift
Dream On,Aerosmith
Necesar,Mario Fresh & Renvtø
Tukoh Taka (feat. FIFA Sound) [Official FFF Anthem],"Nicki Minaj, Maluma & Myriam Fares"
CUFF IT,Beyoncé
No,Meghan Trainor
Sekret,Ermenita
Goo Goo Muck,The Cramps
Young Kid,IVOXYGEN
THE LONELIEST,Måneskin
Nothing Else Matters,Apocalyptica
I Ain't Worried,OneRepublic
Made You Look,Meghan Trainor
Rush,Ayra Starr
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo
White Rabbit,Jefferson Airplane
Rich Flex,Drake & 21 Savage
Limbo,Freddie Dredd
As It Was,Harry Styles
Unstoppable,Sia
Forget Me,Lewis Capaldi
Celestial,Ed Sheeran
Child In Time,Deep Purple
Sing For The Moment,Eminem
Arhbo,"Ozuna, Maître Gims & RedOne"
Winter,Jenna Ortega
Hold Me Closer,Elton John & Britney Spears
Cough,Kizz Daniel
KU LO SA - A COLORS SHOW,Oxlade
SIMPLY THE BEST,"Black Eyed Peas, Anitta & El Alfa"
Commando,Mavokali
Mini Mini,Punto40 & Marcianeke
Until I Found You,Stephen Sanchez
Amber Rose,Marvel
Bad Habit,Steve Lacy
Parado no Bailão (feat. MC Gury),MC L da Vinte & MC Gury
La Bachata,Manuel Turizo
Just Dance (feat. Colby O'Donis),Lady Gaga
Coming Back For You,Fireboy DML
Hayya Hayya (Better Together),"Trinidad Cardona, Davido & AISHA"
Bones,Imagine Dragons
Coucou (feat. Ninho),Graya
Golden Hour,JVKE
B.O.T.A. (Baddest Of Them All),Eliza Rose & Interplanetary Criminal
Bad Memories (feat. Elley Duhé & FAST BOY),Meduza & James Carter
Just Wanna Rock,Lil Uzi Vert
Just Wanna Rock,Echo & The Bunnymen
Tourner Dans Le Vide,Indila
Sekret,Princ1
Ты и Я,Xcho
Clandestina (JVSTIN Remix),Emma Péters
Calm Down,Rema & Selena Gomez
WORTH NOTHING (feat. Oliver Tree),TWISTED
Last Christmas,Wham!
Don't Fear the Reaper (Live),Blue Öyster Cult
Kiss Me,Dermot Kennedy
If I Be Wrong,Wolf Larsen
"Sex, Drugs, Etc.",Beach Weather
How Do I Say Goodbye,Dean Lewis
The Way I Are,"Timbaland, Keri Hilson & D.O.E."
Tobetsa,"Myztro, ShaunMusiq & Ftears"
Shinunoga E-Wa,Fujii Kaze
Somewhere Only We Know,Keane
Heat Waves,Glass Animals
Tití Me Preguntó,Bad Bunny
Way Down We Go,KALEO
Here With Me,d4vd
BILLIE EILISH.,Armani White
Lonely,Akon
DESPECHÁ,ROSALÍA
Under The Influence (Body Language),Chris Brown
Born Again,Rihanna
Cold Heart (PNAU Remix),Elton John & Dua Lipa
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat
After Hours,The Weeknd
Last Last,Burna Boy
Gangsta's Paradise (feat. L.V.),Coolio
MIDDLE OF THE NIGHT,Elley Duhé
Never Gonna Not Dance Again,P!nk
After Dark,Mr.Kitty
SPIT IN MY FACE!,ThxSoMch
Late Night Talking,Harry Styles
Million Dollar Baby,Ava Max
Who Is She?,I Monster
Somebody That I Used to Know (feat. Kimbra),Gotye
Miss You,Southstar
What Else,Don Zio P
Without Me,Eminem
"Won Da Mo (feat. Crayon, Bayanni, Magixx, LADIPOE, Ayra Starr & Johnny Drille)","Mavins, Rema & Boy Spyce"
Моя хулиганка,XOLIDAYBOY
2 Million Up,Peezy
Smalltown Boy,Bronski Beat
No Se Va (En Vivo),Grupo Frontera
Ferrari,James Hype & Miggy Dela Rosa
World's Smallest Violin,AJR
Don't You Worry Child (feat. John Martin),Swedish House Mafia
Yes I Do,French Montana
Oublie-moi,Emkal
Soweto,Victony & Tempoe
Super Freaky Girl,Nicki Minaj
Pepas,Farruko
Ava,Famy
Fetty Wap,Maes
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] [feat. Freshlyground],Shakira
Premier amour,Nour
Die For You,The Weeknd
Perfect,Ed Sheeran
All Along the Watchtower,Jimi Hendrix
Danza Kuduro (feat. Don Omar),Lucenzo
Headlights (feat. KIDDO),Alok & Alan Walker
Call It Love,Felix Jaehn & Ray Dalton
Quiere Que Llame,Feloman & Jonz
Christmastime,The Smashing Pumpkins
Evergreen (You Didn’t Deserve Me At All),Omar Apollo
Glimpse of Us,Joji
We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] [feat. Jennifer Lopez & Cláudia Leitte] [Olodum Mix],Pitbull
Escapism. (feat. 070 Shake),RAYE
DON'T YOU WORRY,"Black Eyed Peas, Shakira & David Guetta"
Freed from Desire,Gala
Вредина (Mbts Remix),Bakr
One Dance (feat. Wizkid & Kyla),Drake
HOTEL LOBBY (Unc & Phew),Quavo & Takeoff
Baila Morena (Reggaeton Remix 2005),Héctor & Tito
Careless Whisper,George Michael
Very Few Friends,Saint Levant
Sweater Weather,The Neighbourhood
Collide (feat. Tyga) [Sped Up Remix],Justine Skye
Faded,Alan Walker
Lionheart (Fearless),Joel Corry & Tom Grennan
Superman (feat. Dina Rae),Eminem
Hey Mor (feat. Feid),Ozuna
i'm yours sped up,Isabel LaRosa
JS4E,Arcángel
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA
We Own It (Fast & Furious),2 Chainz & Wiz Khalifa
Snowman,Sia
Titanium (feat. Sia),David Guetta
Laayli' kuxa'ano'one,"Adn Maya Colectivo, Pat Boy, Yaalen K'uj & All Mayan Winik"
Physical,Dua Lipa
Asiwaju,Ruger
All I Want For Christmas Is You,Mariah Carey
2 Die 4,Tove Lo
I Like You (A Happier Song) [feat. Doja Cat],Post Malone
Heavy Metal Love,twocolors
10:35,Tiësto & Tate McRae
In This Shirt,The Irrepressibles
Hold My Hand,Lady Gaga
Baianá,Bakermat
In Dreams,Roy Orbison
Blinding Lights,The Weeknd
La clé,Tiakola
"Non, Je Ne Regrette Rien",Edith Piaf
In the Dark,Purple Disco Machine & Sophie and the Giants
NEON BLADE,MoonDeity
Lovely,Billie Eilish & Khalid
Dancin (Krono Remix) [feat. Luvli],Aaron Smith
Murder In My Mind,Kordhell
ABISSALE,Tananai
Belki (Akustik),Dedublüman
Only Love Can Hurt Like This,Paloma Faith
Do It Again (feat. 2Rare),NLE Choppa
CAIRO,KAROL G & Ovy On the Drums
White Rabbit,Eliot Sumner
Baglami,DJ DALI
PUNTO 40,Rauw Alejandro & Baby Rasta
The Perfect Girl,Mareux
Dark Horse (feat. Juicy J),Katy Perry
Bitter Sweet Symphony,The Verve
Love on the Brain,Rihanna
Los Dueños Del Malianteo,El Jordan 23 & Endo
"Paint It, Black",The Rolling Stones
Gatita,Bellakath
Infinity,Jaymes Young
Tomorrow 2,GloRilla & Cardi B
Free Mind,Tems
Mary On A Cross,Ghost
Until I Found You (Em Beihold Version),Stephen Sanchez & Em Beihold
Xtra Cool,Young Jonn
Stereo Hearts (feat. Adam Levine),Gym Class Heroes
Circo Loco,Drake & 21 Savage
Starboy,The Weeknd Feat. Daft Punk
